track_id,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
4Gia17DzXBhYFbYiJj6SyW,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,Working Man,51,Otis Rush,Mourning In The Morning,https://i.scdn.co/image/ab67616d0000b273fea221fa82df5694437b3c10,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'modern blues', 'traditional blues']",41,0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,147800,4,blues
1BjYNhg7JhVfQdxqEThBwn,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,Long Way Home,38,"Clarence ""Gatemouth"" Brown",Long Way Home,https://i.scdn.co/image/ab67616d0000b2730e1f138fd710fc2815200fa5,"['blues', 'blues rock', 'memphis blues', 'modern blues', 'texas blues', 'traditional blues']",33,0.728,0.054,11,-22.557,0,0.038,0.91,0.048,0.12,0.425,78.033,338333,4,blues
2Cg3GUkhjX96nO4p2WRlIa,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,She's A Sweet One,49,Junior Wells,"Calling All Blues - The Chief, Profile & USA Recordings 1957-1963",https://i.scdn.co/image/ab67616d0000b27399b18c5945d73fd58233fc68,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'memphis blues', 'modern blues', 'traditional blues']",41,0.705,0.483,1,-12.209,1,0.0542,0.15,0.0265,0.202,0.713,122.863,181786,4,blues
5bC6ONDsL88snGN6QasjZH,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,Help Me,59,Sonny Boy Williamson II,More Real Folk Blues,https://i.scdn.co/image/ab67616d0000b273b48c81a7d103f5aedd0b8cb2,"['acoustic blues', 'blues', 'blues rock', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",46,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,188200,4,blues
2TKykeHeVKsBqZC8M3SKcN,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,Take Out Some Insurance,51,Jimmy Reed,Rockin' With Reed,https://i.scdn.co/image/ab67616d0000b2739b757333db6ca9bfa06e9547,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'traditional blues']",42,0.747,0.288,9,-14.435,1,0.0513,0.663,0.0,0.122,0.566,111.33,143332,4,blues
25UAiv8lEZzSrcl7Z6dVHd,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,The Sky Is Crying,21,Elmore James,Shake Your Moneymaker: The Best of the Fire Sessions,https://i.scdn.co/image/ab67616d0000b27345683f284b709828cabf1e6d,"['blues', 'blues rock', 'chicago blues', 'delta blues', 'electric blues', 'rock-and-roll', 'traditional blues']",44,0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,166400,3,blues
3VFz6GOOIzNY5RH7HcOud7,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,All Your Love,27,Magic Sam,Presenting Magic Sam,https://i.scdn.co/image/ab67616d0000b273810744a6b0412f5b0b9f65c6,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'soul blues', 'traditional blues']",38,0.689,0.725,11,-7.759,1,0.0974,0.839,0.365,0.103,0.83,120.9,176173,3,blues
2XTJ2EuVxwtjInqDdAPrKM,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,Kindhearted Woman Blues,35,"Robert Lockwood, Jr.",I Got To Find Me A Woman,https://i.scdn.co/image/ab67616d0000b273dce0d44d6d606d1d4464907a,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'country blues', 'delta blues', 'electric blues', 'traditional blues']",27,0.706,0.247,2,-10.349,1,0.0573,0.939,0.000522,0.104,0.477,101.674,162400,4,blues
5CdoLhKBjtDUTnA0EdJCfk,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,Back To New Orleans,47,Lightnin' Hopkins,The Complete Prestige / Bluesville Recordings,https://i.scdn.co/image/ab67616d0000b273dadee7cf710516035c64c877,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'texas blues', 'traditional blues']",44,0.629,0.275,4,-17.572,1,0.0606,0.889,0.00747,0.107,0.666,81.98,201733,4,blues
2PcbVKT28p9mOlWBDL371J,https://open.spotify.com/playlist/7qACZGMjyo64TdUdKAegjp?si=1d3b035785164673,The Sound of Blues,I Can't Quit You Baby,49,Willie Dixon,Poet Of the Blues (Mojo Workin'- Blues For The Next Generation),https://i.scdn.co/image/ab67616d0000b27300a4008af1d4630c52988367,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'jump blues', 'traditional blues']",42,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399173,4,blues
